# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\home\Documents\University\Lessons\ECE_385\LAB\Lab4\lab_pt1_8BitProcessor\output_files\eightBitProcessor.csv
# Generated on: Thu Oct 14 15:28:22 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexL[6],Output,PIN_W28,5,B5_N1,PIN_H13,,,,,,
AhexL[5],Output,PIN_W27,5,B5_N1,PIN_C10,,,,,,
AhexL[4],Output,PIN_Y26,5,B5_N1,PIN_F12,,,,,,
AhexL[3],Output,PIN_W26,5,B5_N1,PIN_D10,,,,,,
AhexL[2],Output,PIN_Y25,5,B5_N1,PIN_F11,,,,,,
AhexL[1],Output,PIN_AA26,5,B5_N1,PIN_E12,,,,,,
AhexL[0],Output,PIN_AA25,5,B5_N1,PIN_A10,,,,,,
AhexU[6],Output,PIN_Y19,4,B4_N0,PIN_C11,,,,,,
AhexU[5],Output,PIN_AF23,4,B4_N0,PIN_D9,,,,,,
AhexU[4],Output,PIN_AD24,4,B4_N0,PIN_H12,,,,,,
AhexU[3],Output,PIN_AA21,4,B4_N0,PIN_G11,,,,,,
AhexU[2],Output,PIN_AB20,4,B4_N0,PIN_G12,,,,,,
AhexU[1],Output,PIN_U21,5,B5_N0,PIN_C9,,,,,,
AhexU[0],Output,PIN_V21,5,B5_N1,PIN_D11,,,,,,
Aval[7],Output,PIN_H15,7,B7_N2,PIN_A6,,,,,,
Aval[6],Output,PIN_G16,7,B7_N2,PIN_B6,,,,,,
Aval[5],Output,PIN_G15,7,B7_N2,PIN_A7,,,,,,
Aval[4],Output,PIN_F15,7,B7_N2,PIN_E7,,,,,,
Aval[3],Output,PIN_H17,7,B7_N2,PIN_B7,,,,,,
Aval[2],Output,PIN_J16,7,B7_N2,PIN_E11,,,,,,
Aval[1],Output,PIN_H16,7,B7_N2,PIN_B10,,,,,,
Aval[0],Output,PIN_J15,7,B7_N2,PIN_H16,,,,,,
BhexL[6],Output,PIN_H22,6,B6_N0,PIN_D12,,,,,,
BhexL[5],Output,PIN_J22,6,B6_N0,PIN_E15,,,,,,
BhexL[4],Output,PIN_L25,6,B6_N1,PIN_C12,,,,,,
BhexL[3],Output,PIN_L26,6,B6_N1,PIN_C13,,,,,,
BhexL[2],Output,PIN_E17,7,B7_N2,PIN_D13,,,,,,
BhexL[1],Output,PIN_F22,7,B7_N0,PIN_D14,,,,,,
BhexL[0],Output,PIN_G18,7,B7_N2,PIN_C15,,,,,,
BhexU[6],Output,PIN_U24,5,B5_N0,PIN_C8,,,,,,
BhexU[5],Output,PIN_U23,5,B5_N1,PIN_C7,,,,,,
BhexU[4],Output,PIN_W25,5,B5_N1,PIN_F10,,,,,,
BhexU[3],Output,PIN_W22,5,B5_N0,PIN_G10,,,,,,
BhexU[2],Output,PIN_W21,5,B5_N1,PIN_D8,,,,,,
BhexU[1],Output,PIN_Y22,5,B5_N0,PIN_H10,,,,,,
BhexU[0],Output,PIN_M24,6,B6_N2,PIN_J10,,,,,,
Bval[7],Output,PIN_H19,7,B7_N2,PIN_E10,,,,,,
Bval[6],Output,PIN_J19,7,B7_N2,PIN_B8,,,,,,
Bval[5],Output,PIN_E18,7,B7_N1,PIN_A8,,,,,,
Bval[4],Output,PIN_F18,7,B7_N1,PIN_G9,,,,,,
Bval[3],Output,PIN_F21,7,B7_N0,PIN_D15,,,,,,
Bval[2],Output,PIN_E19,7,B7_N0,PIN_H14,,,,,,
Bval[1],Output,PIN_F19,7,B7_N0,PIN_E17,,,,,,
Bval[0],Output,PIN_G19,7,B7_N2,PIN_J14,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
Din[7],Input,PIN_AB26,5,B5_N1,PIN_F15,,,,,,
Din[6],Input,PIN_AD26,5,B5_N2,PIN_D16,,,,,,
Din[5],Input,PIN_AC26,5,B5_N2,PIN_G13,,,,,,
Din[4],Input,PIN_AB27,5,B5_N1,PIN_H15,,,,,,
Din[3],Input,PIN_AD27,5,B5_N2,PIN_A12,,,,,,
Din[2],Input,PIN_AC27,5,B5_N2,PIN_F14,,,,,,
Din[1],Input,PIN_AC28,5,B5_N2,PIN_A17,,,,,,
Din[0],Input,PIN_AB28,5,B5_N1,PIN_C14,,,,,,
Execute,Input,PIN_R24,5,B5_N0,PIN_B17,,,,,,
F[2],Input,PIN_Y23,5,B5_N2,PIN_J15,,,,,,
F[1],Input,PIN_Y24,5,B5_N2,PIN_B11,,,,,,
F[0],Input,PIN_AA22,5,B5_N2,PIN_J16,,,,,,
LED[3],Output,PIN_E24,7,B7_N1,PIN_C16,,,,,,
LED[2],Output,PIN_E25,7,B7_N1,PIN_J13,,,,,,
LED[1],Output,PIN_E22,7,B7_N0,PIN_G14,,,,,,
LED[0],Output,PIN_E21,7,B7_N0,PIN_A11,,,,,,
LoadA,Input,PIN_N21,6,B6_N2,PIN_J12,,,,,,
LoadB,Input,PIN_M21,6,B6_N1,PIN_J27,,,,,,
R[1],Input,PIN_AA24,5,B5_N2,PIN_E14,,,,,,
R[0],Input,PIN_AA23,5,B5_N2,PIN_G15,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_J28,,,,,,
