# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\home\Documents\University\Lessons\ECE_385\LAB\Lab5\Lab5__\output_files\Lab5.csv
# Generated on: Thu Oct 21 15:21:58 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexL[6],Output,PIN_W28,5,B5_N1,PIN_A18,,,,,,
AhexL[5],Output,PIN_W27,5,B5_N1,PIN_J19,,,,,,
AhexL[4],Output,PIN_Y26,5,B5_N1,PIN_G20,,,,,,
AhexL[3],Output,PIN_W26,5,B5_N1,PIN_G21,,,,,,
AhexL[2],Output,PIN_Y25,5,B5_N1,PIN_B19,,,,,,
AhexL[1],Output,PIN_AA26,5,B5_N1,PIN_H19,,,,,,
AhexL[0],Output,PIN_AA25,5,B5_N1,PIN_A19,,,,,,
AhexU[6],Output,PIN_Y19,4,B4_N0,PIN_G16,,,,,,
AhexU[5],Output,PIN_AF23,4,B4_N0,PIN_H21,,,,,,
AhexU[4],Output,PIN_AD24,4,B4_N0,PIN_G19,,,,,,
AhexU[3],Output,PIN_AA21,4,B4_N0,PIN_G18,,,,,,
AhexU[2],Output,PIN_AB20,4,B4_N0,PIN_H17,,,,,,
AhexU[1],Output,PIN_U21,5,B5_N0,PIN_E17,,,,,,
AhexU[0],Output,PIN_V21,5,B5_N1,PIN_H16,,,,,,
Aval[7],Output,,,,PIN_F17,,,,,,
Aval[6],Output,,,,PIN_G22,,,,,,
Aval[5],Output,,,,PIN_J17,,,,,,
Aval[4],Output,,,,PIN_J16,,,,,,
Aval[3],Output,,,,PIN_E25,,,,,,
Aval[2],Output,,,,PIN_B18,,,,,,
Aval[1],Output,,,,PIN_C17,,,,,,
Aval[0],Output,,,,PIN_D17,,,,,,
BhexL[6],Output,PIN_H22,6,B6_N0,PIN_D24,,,,,,
BhexL[5],Output,PIN_J22,6,B6_N0,PIN_C24,,,,,,
BhexL[4],Output,PIN_L25,6,B6_N1,PIN_C21,,,,,,
BhexL[3],Output,PIN_L26,6,B6_N1,PIN_C22,,,,,,
BhexL[2],Output,PIN_E17,7,B7_N2,PIN_D21,,,,,,
BhexL[1],Output,PIN_F22,7,B7_N0,PIN_A21,,,,,,
BhexL[0],Output,PIN_G18,7,B7_N2,PIN_E19,,,,,,
BhexU[6],Output,PIN_U24,5,B5_N0,PIN_A25,,,,,,
BhexU[5],Output,PIN_U23,5,B5_N1,PIN_F21,,,,,,
BhexU[4],Output,PIN_W25,5,B5_N1,PIN_E21,,,,,,
BhexU[3],Output,PIN_W22,5,B5_N0,PIN_A23,,,,,,
BhexU[2],Output,PIN_W21,5,B5_N1,PIN_F22,,,,,,
BhexU[1],Output,PIN_Y22,5,B5_N0,PIN_B25,,,,,,
BhexU[0],Output,PIN_M24,6,B6_N2,PIN_C25,,,,,,
Bval[7],Output,,,,PIN_D23,,,,,,
Bval[6],Output,,,,PIN_B23,,,,,,
Bval[5],Output,,,,PIN_D25,,,,,,
Bval[4],Output,,,,PIN_C23,,,,,,
Bval[3],Output,,,,PIN_E18,,,,,,
Bval[2],Output,,,,PIN_F19,,,,,,
Bval[1],Output,,,,PIN_C20,,,,,,
Bval[0],Output,,,,PIN_D18,,,,,,
ClearA_LoadB,Input,PIN_N21,6,B6_N2,PIN_B21,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_C18,,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_B22,,,,,,
S[7],Input,PIN_AB26,5,B5_N1,PIN_J28,,,,,,
S[6],Input,PIN_AD26,5,B5_N2,PIN_J27,,,,,,
S[5],Input,PIN_AC26,5,B5_N2,PIN_F18,,,,,,
S[4],Input,PIN_AB27,5,B5_N1,PIN_D19,,,,,,
S[3],Input,PIN_AD27,5,B5_N2,PIN_G17,,,,,,
S[2],Input,PIN_AC27,5,B5_N2,PIN_D20,,,,,,
S[1],Input,PIN_AC28,5,B5_N2,PIN_A22,,,,,,
S[0],Input,PIN_AB28,5,B5_N1,PIN_E24,,,,,,
X,Output,PIN_F17,7,B7_N2,PIN_C19,,,,,,
